[14.01.2019 12:02:42] Configuring services.
[14.01.2019 12:02:44] Executing ModuleLoaderMiddleware
[14.01.2019 12:02:45] Copying module Bong.Portal to \bin
[14.01.2019 12:02:54] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.IdentityModel.Tokens.dll' already exists.
[14.01.2019 12:02:54] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.IdentityModel.Tokens.Saml.dll' already exists.
[14.01.2019 12:02:54] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.IdentityModel.Xml.dll' already exists.
[14.01.2019 12:02:54] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Microsoft.Net.Http.Headers.dll' already exists.
[14.01.2019 12:02:54] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Newtonsoft.Json.Bson.dll' already exists.
[14.01.2019 12:02:54] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Newtonsoft.Json.dll' already exists.
[14.01.2019 12:02:54] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\Remotion.Linq.dll' already exists.
[14.01.2019 12:02:54] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\System.Data.SqlClient.dll' already exists.
[14.01.2019 12:02:54] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\System.Diagnostics.DiagnosticSource.dll' already exists.
[14.01.2019 12:02:55] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\System.IdentityModel.Tokens.Jwt.dll' already exists.
[14.01.2019 12:02:55] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\System.Interactive.Async.dll' already exists.
[14.01.2019 12:02:55] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\System.IO.Pipelines.dll' already exists.
[14.01.2019 12:02:55] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\System.Net.Http.Formatting.dll' already exists.
[14.01.2019 12:02:55] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\System.Net.WebSockets.WebSocketProtocol.dll' already exists.
[14.01.2019 12:02:55] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\System.Runtime.CompilerServices.Unsafe.dll' already exists.
[14.01.2019 12:02:55] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\System.Security.Cryptography.Pkcs.dll' already exists.
[14.01.2019 12:02:55] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\System.Security.Cryptography.Xml.dll' already exists.
[14.01.2019 12:02:55] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\System.Security.Permissions.dll' already exists.
[14.01.2019 12:02:55] Warning: The file 'C:\MINE\Bong\bin\Debug\netcoreapp2.1\System.Security.Principal.Windows.dll' already exists.
